# 移除规则数: 1557（DoH NXDOMAIN 判定）

AI/Copilot.list	DOMAIN,gateway.bingviz.microsoft.net
AI/Others.list	DOMAIN-SUFFIX,comfyci.org
AI/Others.list	DOMAIN-SUFFIX,comfyregistry.org
AI/Others.list	DOMAIN-SUFFIX,kilocode.app
AI/Others.list	DOMAIN-SUFFIX,paypal-referral.com
AI/Others.list	DOMAIN-SUFFIX,paypal.info
AI/Others.list	DOMAIN-SUFFIX,venmo.info
Apple.list	DOMAIN-SUFFIX,40shopping.com
Apple.list	DOMAIN-SUFFIX,aanaan.com
Apple.list	DOMAIN-SUFFIX,aeasyshop.com
Apple.list	DOMAIN-SUFFIX,annstores.net
Apple.list	DOMAIN-SUFFIX,aokwholesale.net
Apple.list	DOMAIN-SUFFIX,aplleipods.com
Apple.list	DOMAIN-SUFFIX,app0le.com
Apple.list	DOMAIN-SUFFIX,appldnld-lb.apple.com.akadns.net
Apple.list	DOMAIN-SUFFIX,apple-appstore.cn
Apple.list	DOMAIN-SUFFIX,apple-arcade.com
Apple.list	DOMAIN-SUFFIX,apple-ibooks.cn
Apple.list	DOMAIN-SUFFIX,apple-maps.cn
Apple.list	DOMAIN-SUFFIX,appleafrica.com
Apple.list	DOMAIN-SUFFIX,appleantilles.com
Apple.list	DOMAIN-SUFFIX,appleappstore.cn
Apple.list	DOMAIN-SUFFIX,appleclassicipod.com
Apple.list	DOMAIN-SUFFIX,applecom.com
Apple.list	DOMAIN-SUFFIX,appledns.com.cn
Apple.list	DOMAIN-SUFFIX,applesiri.cn
Apple.list	DOMAIN-SUFFIX,appletv4.cn
Apple.list	DOMAIN-SUFFIX,appstoreapple.cn
Apple.list	DOMAIN-SUFFIX,bag-glasses1.com
Apple.list	DOMAIN-SUFFIX,bandgirlz.com
Apple.list	DOMAIN-SUFFIX,bbestmall.com
Apple.list	DOMAIN-SUFFIX,beats2.com.cn
Apple.list	DOMAIN-SUFFIX,beats4.cn
Apple.list	DOMAIN-SUFFIX,beatsep.cn
Apple.list	DOMAIN-SUFFIX,biitii.com
Apple.list	DOMAIN-SUFFIX,bloommicroventures.com
Apple.list	DOMAIN-SUFFIX,bookonsky.net
Apple.list	DOMAIN-SUFFIX,brandeasygo.com
Apple.list	DOMAIN-SUFFIX,brandproducts1688.com
Apple.list	DOMAIN-SUFFIX,brands098.com
Apple.list	DOMAIN-SUFFIX,businesswebwise.com
Apple.list	DOMAIN-SUFFIX,buy-from-shanghai.com
Apple.list	DOMAIN-SUFFIX,buyshoponly.com
Apple.list	DOMAIN-SUFFIX,buzzardflapper.com
Apple.list	DOMAIN-SUFFIX,cheapheadsetmall.com
Apple.list	DOMAIN-SUFFIX,cheapheadsetshop.com
Apple.list	DOMAIN-SUFFIX,cheapshoesvip.com
Apple.list	DOMAIN-SUFFIX,cheapwireless04.com
Apple.list	DOMAIN-SUFFIX,cheerwholesale.us
